[    0,   362,   392,  2024,   383,   367,   387,  2202,   352,  2211,  2194,   377,  2211,   365,  2008,   350,  2211,  2033,  2018,   383,  2210]
[  362,     0,   392,  2024,   383,   367,   387,  2202,   362,  2211,  2194,   377,  2211,   365,  2008,   362,  2211,  2033,  2018,   383,  2210]
[  392,   392,     0,  2024,   392,   392,   392,  2202,   392,  2211,  2194,   392,  2211,   392,  2008,   392,  2211,  2033,  2018,   392,  2210]
[ 2024,  2024,  2024,     0,  2024,  2024,  2024,  2202,  2024,  2211,  2194,  2024,  2211,  2024,  2024,  2024,  2211,  2033,  2024,  2024,  2210]
[  383,   383,   392,  2024,     0,   383,   387,  2202,   383,  2211,  2194,   383,  2211,   383,  2008,   383,  2211,  2033,  2018,   383,  2210]
[  367,   367,   392,  2024,   383,     0,   387,  2202,   367,  2211,  2194,   377,  2211,   367,  2008,   367,  2211,  2033,  2018,   383,  2210]
[  387,   387,   392,  2024,   387,   387,     0,  2202,   387,  2211,  2194,   387,  2211,   387,  2008,   387,  2211,  2033,  2018,   387,  2210]
[ 2202,  2202,  2202,  2202,  2202,  2202,  2202,     0,  2202,  2211,  2202,  2202,  2211,  2202,  2202,  2202,  2211,  2202,  2202,  2202,  2210]
[  352,   362,   392,  2024,   383,   367,   387,  2202,     0,  2211,  2194,   377,  2211,   365,  2008,   352,  2211,  2033,  2018,   383,  2210]
[ 2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,     0,  2211,  2211,     0,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211]
[ 2194,  2194,  2194,  2194,  2194,  2194,  2194,  2202,  2194,  2211,     0,  2194,  2211,  2194,  2194,  2194,  2211,  2194,  2194,  2194,  2210]
[  377,   377,   392,  2024,   383,   377,   387,  2202,   377,  2211,  2194,     0,  2211,   377,  2008,   377,  2211,  2033,  2134,   383,  2210]
[ 2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,     0,  2211,  2211,     0,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211]
[  365,   365,   392,  2024,   383,   367,   387,  2202,   365,  2211,  2194,   377,  2211,     0,  2008,   365,  2211,  2033,  2018,   383,  2210]
[ 2008,  2008,  2008,  2024,  2008,  2008,  2008,  2202,  2008,  2211,  2194,  2008,  2211,  2008,     0,  2008,  2211,  2033,  2018,  2008,  2210]
[  350,   362,   392,  2024,   383,   367,   387,  2202,   352,  2211,  2194,   377,  2211,   365,  2008,     0,  2211,  2033,  2018,   383,  2210]
[ 2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,  2211,     0,  2211,  2211,  2211,  2211]
[ 2033,  2033,  2033,  2033,  2033,  2033,  2033,  2202,  2033,  2211,  2194,  2033,  2211,  2033,  2033,  2033,  2211,     0,  2033,  2033,  2210]
[ 2018,  2018,  2018,  2024,  2018,  2018,  2018,  2202,  2018,  2211,  2194,  2134,  2211,  2018,  2018,  2018,  2211,  2033,     0,  2018,  2210]
[  383,   383,   392,  2024,   383,   383,   387,  2202,   383,  2211,  2194,   383,  2211,   383,  2008,   383,  2211,  2033,  2018,     0,  2210]
[ 2210,  2210,  2210,  2210,  2210,  2210,  2210,  2210,  2210,  2211,  2210,  2210,  2211,  2210,  2210,  2210,  2211,  2210,  2210,  2210,     0]
