[    0, 43713, 43922, 38837, 36209, 36807, 33470, 34726, 40338, 45386, 35255, 44070, 37097, 45967, 40412, 35241, 35008, 35008, 46296, 46296, 44208]
[43713,     0,  1752, 29161,  9568, 27959, 24990, 25376, 20890,  5175, 27391,  4086, 28111,  5181, 11951, 25855, 25517, 25517, 25355, 25355, 24497]
[43922,  1752,     0, 28299,  8303, 28307, 25557, 25859, 21623,  3659, 27941,  4378, 28321,  3440, 11719, 25449, 25859, 25859, 24436, 24436, 24043]
[38837, 29161, 28299,     0, 20657,   882,  4791,  4115, 11892, 26667,  1605, 26551,   784, 26761, 19682,  3893,  4029,  4029,  8623,  8623,  8852]
[36209,  9568,  8303, 20657,     0, 20559, 17807, 18108, 24821, 11200, 20194, 11531, 20679, 11303,  4077, 17807, 18217, 18217, 28477, 28477, 27806]
[36807, 27959, 28307,   882, 20559,     0,  3865,  3189, 10966, 26681,   723, 25650,    98, 26890, 19844,  4623,  3287,  3287,  9309,  9309,  9734]
[33470, 24990, 25557,  4791, 17807,  3865,     0,   703,  7565, 27852,  3091, 26939,  3971, 28201, 20768,   958,   797,   797, 12716, 12716, 11623]
[34726, 25376, 25859,  4115, 18108,  3189,   703,     0,  8286, 28309,  3829, 27269,  3295, 28532, 21552,  1437,    94,    94, 12047, 12047, 12362]
[40338, 20890, 21623, 11892, 24821, 10966,  7565,  8286,     0, 23867, 10192, 23050, 11072, 24168, 27777,  8524,  8380,  8380,  5136,  5136,  4326]
[45386,  5175,  3659, 26667, 11200, 26681, 27852, 28309, 23867,     0, 26240,  1087, 26793,   254,  9156, 28015, 28421, 28421, 22591, 22591, 22239]
[35255, 27391, 27941,  1605, 20194,   723,  3091,  3829, 10192, 26240,     0, 25341,   821, 26580, 19052,  4066,  3927,  3927, 10044, 10044,  8993]
[44070,  4086,  4378, 26551, 11531, 25650, 26939, 27269, 23050,  1087, 25341,     0, 25763,  1071,  9589, 27822, 27381, 27381, 22742, 22742, 22545]
[37097, 28111, 28321,   784, 20679,    98,  3971,  3295, 11072, 26793,   821, 25763,     0, 26888, 19842,  4545,  3209,  3209,  9407,  9407,  9636]
[45967,  5181,  3440, 26761, 11303, 26890, 28201, 28532, 24168,   254, 26580,  1071, 26888,     0,  9045, 28132, 28538, 28538, 22728, 22728, 22392]
[40412, 11951, 11719, 19682,  4077, 19844, 20768, 21552, 27777,  9156, 19052,  9589, 19842,  9045,     0, 20699, 21558, 21558, 27646, 27646, 26471]
[35241, 25855, 25449,  3893, 17807,  4623,   958,  1437,  8524, 28015,  4066, 27822,  4545, 28132, 20699,     0,  1343,  1343, 12003, 12003, 10942]
[35008, 25517, 25859,  4029, 18217,  3287,   797,    94,  8380, 28421,  3927, 27381,  3209, 28538, 21558,  1343,     0,     0, 12145, 12145, 12276]
[35008, 25517, 25859,  4029, 18217,  3287,   797,    94,  8380, 28421,  3927, 27381,  3209, 28538, 21558,  1343,     0,     0, 12145, 12145, 12276]
[46296, 25355, 24436,  8623, 28477,  9309, 12716, 12047,  5136, 22591, 10044, 22742,  9407, 22728, 27646, 12003, 12145, 12145,     0,     0,   989]
[46296, 25355, 24436,  8623, 28477,  9309, 12716, 12047,  5136, 22591, 10044, 22742,  9407, 22728, 27646, 12003, 12145, 12145,     0,     0,   989]
[44208, 24497, 24043,  8852, 27806,  9734, 11623, 12362,  4326, 22239,  8993, 22545,  9636, 22392, 26471, 10942, 12276, 12276,   989,   989,     0]
