--without-ncursesw: [11.01764464378357, 2.0745327472686768]
--with-readline --with-libiconv: [11.003592252731323, 2.0861597061157227]
--with-readline --with-ncurses --with-libiconv: [0.08841586112976074, 2.223888635635376]
--without-ncursesw --disable-option-checking: [10.82248067855835, 2.0432498455047607]
--disable-option-checking --with-readline --with-libiconv: [10.917439222335815, 2.1252777576446533]
--enable-gcov --with-readline: [0.08425617218017578, 2.039090394973755]
--enable-gcov --without-pcre --disable-option-checking --without-ncursesw --with-libiconv: [5.30549693107605, 2.021495819091797]
--enable-gcov --without-ncursesw: [5.34847092628479, 2.1167266368865967]
--disable-option-checking --without-ncursesw --with-readline --enable-gcov: [0.19522476196289062, 2.228512763977051]
--without-ncursesw --with-readline --disable-option-checking: [0.11840415000915527, 2.130833148956299]
--disable-option-checking --with-readline --enable-gcov: [5.451118230819702, 2.2248380184173584]
--enable-gcov --with-libiconv --with-readline: [0.08658504486083984, 2.3049490451812744]
--with-readline --with-ncurses: [0.08865571022033691, 2.1253912448883057]
--without-ncursesw --with-readline: [10.851276636123657, 2.103410243988037]
--with-libiconv --without-pcre --without-ncursesw: [10.99234414100647, 2.013282537460327]
--with-libiconv --with-ncurses --enable-gcov --disable-option-checking --without-ncursesw: [5.403865098953247, 2.24692702293396]
--with-libiconv --with-ncurses --disable-option-checking: [10.999448537826538, 2.100269317626953]
--without-pcre --with-libiconv: [10.920109987258911, 1.9688172340393066]
--with-libiconv --enable-gcov --with-readline: [5.320980072021484, 2.265378952026367]
--with-readline --disable-option-checking --without-ncursesw: [10.996187210083008, 1.9721477031707764]
Timecount: [126.01199626922607]
AvgTime: ['126.01199626922607']
