[    0,  1735,  2125,  2125,  2125,  2335,  2190,  2125,  2190,  2190,  2125,  2125,  2335,  2335,  1843,  2265,  1787,  1843,  1735,  1843,  2125]
[ 1735,     0,   104,   259,   104,   501,   317,   259,   314,   317,   259,   104,   488,   499,   170,   428,   185,   170,     0,   309,   104]
[ 2125,   104,     0,   166,     0,   398,   224,   166,   221,   224,   166,     0,   395,   395,   274,   336,   304,   274,   104,   428,     0]
[ 2125,   259,   166,     0,   166,   395,   221,     0,   224,   221,     0,   166,   398,   398,   428,   170,   306,   428,   259,   274,   166]
[ 2125,   104,     0,   166,     0,   398,   224,   166,   221,   224,   166,     0,   395,   395,   274,   336,   304,   274,   104,   428,     0]
[ 2335,   501,   398,   395,   398,     0,   175,   395,   348,   175,   395,   398,   181,   181,   328,   233,   443,   328,   501,   325,   398]
[ 2190,   317,   224,   221,   224,   175,     0,   221,   173,     0,   221,   224,   348,   348,   497,   392,   269,   497,   317,   495,   224]
[ 2125,   259,   166,     0,   166,   395,   221,     0,   224,   221,     0,   166,   398,   398,   428,   170,   306,   428,   259,   274,   166]
[ 2190,   314,   221,   224,   221,   348,   173,   224,     0,   173,   224,   221,   175,   175,   495,   394,   107,   495,   314,   497,   221]
[ 2190,   317,   224,   221,   224,   175,     0,   221,   173,     0,   221,   224,   348,   348,   497,   392,   269,   486,   317,   484,   224]
[ 2125,   259,   166,     0,   166,   395,   221,     0,   224,   221,     0,   166,   398,   398,   428,   170,   306,   428,   259,   274,   166]
[ 2125,   104,     0,   166,     0,   398,   224,   166,   221,   224,   166,     0,   395,   395,   274,   336,   304,   274,   104,   428,     0]
[ 2335,   488,   395,   398,   395,   181,   348,   398,   175,   348,   398,   395,     0,     0,   325,   235,   282,   325,   488,   328,   395]
[ 2335,   499,   395,   398,   395,   181,   348,   398,   175,   348,   398,   395,     0,     0,   325,   235,   282,   325,   488,   328,   395]
[ 1843,   170,   274,   428,   274,   328,   497,   428,   495,   497,   428,   274,   325,   325,     0,   266,   353,     0,   170,   147,   274]
[ 2265,   428,   336,   170,   336,   233,   392,   170,   394,   392,   170,   336,   235,   235,   266,     0,   475,   266,   428,   104,   336]
[ 1787,   185,   304,   306,   304,   443,   269,   306,   107,   269,   306,   304,   282,   282,   353,   475,     0,   353,   185,   355,   304]
[ 1843,   170,   274,   428,   274,   328,   497,   428,   495,   486,   428,   274,   325,   325,     0,   266,   353,     0,   170,   147,   274]
[ 1735,     0,   104,   259,   104,   501,   317,   259,   314,   317,   259,   104,   488,   488,   170,   428,   185,   170,     0,   309,   104]
[ 1843,   309,   428,   274,   428,   325,   495,   274,   497,   484,   274,   428,   328,   328,   147,   104,   355,   147,   309,     0,   428]
[ 2125,   104,     0,   166,     0,   398,   224,   166,   221,   224,   166,     0,   395,   395,   274,   336,   304,   274,   104,   428,     0]
