[    0, 75487, 75479, 73742, 60831, 75307, 77000, 59557, 75419, 73698, 73742, 73690, 73698, 62085, 77068, 77010, 77107, 72125, 73784, 77068, 73791]
[75487,     0,  4342,  2375, 39948,  2977,  4318, 41616,  4922,  4689,  5294,  5893,  5295, 40763,     0,  3719,   623,  5291,  5911,     0,  2394]
[75479,  4342,     0,  5301, 40734,  5903,  4919, 40816,   623,  5280,  4695,  2983,  2381, 40734,  4342,  4315,  4927,  2381,  5278,  4342,  5282]
[73742,  2375,  5301,     0, 40406,   602,  5283, 39875,  5877,  2948,  3553,  4152,  3554, 41223,  2383,  4688,  3002,  3550,  4170,  2383,    19]
[60831, 39948, 40734, 40406,     0, 41188, 40704,  4387, 40704, 40384, 41192, 41166, 41170,    19, 40738, 40710, 40758, 40384, 41213, 40738, 40430]
[75307,  2977,  5903,   602, 41188,     0,  4681, 40658,  5275,  3550,  4155,  3550,  4156, 42006,  2985,  5290,  2400,  4152,  3568,  2985,   621]
[77000,  4318,  4919,  5283, 40704,  4681,     0, 42391,  4291,  2970,  5889,  5263,  5869, 41520,  4323,   604,  3733,  5865,  5302,  4323,  5302]
[59557, 41616, 40816, 39875,  4387, 40658, 42391,     0, 41596, 39875, 39088, 39871, 39088,  4374, 41624, 41611, 42404, 39088, 39871, 41624, 39875]
[75419,  4922,   623,  5877, 40704,  5275,  4291, 41596,     0,  5857,  5275,  2360,  2962, 41520,  4927,  4900,  4337,  2962,  4689,  4927,  5896]
[73698,  4689,  5280,  2948, 40384,  3550,  2970, 39875,  5857,     0,  3554,  4132,  3534, 41201,  4701,  2370,  5315,  3530,  4171,  4701,  2967]
[73742,  5294,  4695,  3553, 41192,  4155,  5889, 39088,  5275,  3554,     0,  3550,  2948, 41223,  5302,  5290,  5920,  2948,   621,  5302,  3572]
[73690,  5893,  2983,  4152, 41166,  3550,  5263, 39871,  2360,  4132,  3550,     0,   602, 41983,  5905,  5871,  5315,   602,  2963,  5905,  4171]
[73698,  5295,  2381,  3554, 41170,  4156,  5869, 39088,  2962,  3534,  2948,   602,     0, 41201,  5303,  5269,  5921,     0,  3569,  5303,  3573]
[62085, 40763, 40734, 41223,    19, 42006, 41520,  4374, 41520, 41201, 41223, 41983, 41201,     0, 40763, 40734, 41548, 41201, 42006, 40763, 41223]
[77068,     0,  4342,  2383, 40738,  2985,  4323, 41624,  4927,  4701,  5302,  5905,  5303, 40763,     0,  3719,   623,  5303,  5923,     0,  2402]
[77010,  3719,  4315,  4688, 40710,  5290,   604, 41611,  4900,  2370,  5290,  5871,  5269, 40734,  3719,     0,  4342,  5269,  5911,  3719,  4707]
[77107,   623,  4927,  3002, 40758,  2400,  3733, 42404,  4337,  5315,  5920,  5315,  5921, 41548,   623,  4342,     0,  5917,  5295,   623,  2983]
[72125,  5291,  2381,  3550, 40384,  4152,  5865, 39088,  2962,  3530,  2948,   602,     0, 41201,  5303,  5269,  5917,     0,  3565,  5303,  3569]
[73784,  5911,  5278,  4170, 41213,  3568,  5302, 39871,  4689,  4171,   621,  2963,  3569, 42006,  5923,  5911,  5295,  3565,     0,  5923,  4151]
[77068,     0,  4342,  2383, 40738,  2985,  4323, 41624,  4927,  4701,  5302,  5905,  5303, 40763,     0,  3719,   623,  5303,  5923,     0,  2402]
[73791,  2394,  5282,    19, 40430,   621,  5302, 39875,  5896,  2967,  3572,  4171,  3573, 41223,  2402,  4707,  2983,  3569,  4151,  2402,     0]
